"date","close","volume","open","high","low"
"2017/03/10","63.4800","809678.0000","63.4000","63.8300","62.9100"
"2017/03/09","63.1300","929247.0000","63.3200","63.4500","62.6900"
"2017/03/08","63.5200","1243764.0000","63.1400","63.9600","63.0600"
"2017/03/07","63.0500","869269.0000","62.7100","63.4600","62.6800"
"2017/03/06","62.7100","1330467.0000","63.1300","63.3300","62.4554"
"2017/03/03","63.4400","870954.0000","63.1600","63.4400","62.7500"
"2017/03/02","63.4700","706682.0000","63.8000","64.4900","63.4000"
"2017/03/01","64.0800","1402458.0000","63.4700","64.4900","63.4700"
"2017/02/28","63.4900","1207089.0000","63.6400","63.9600","63.3000"
"2017/02/27","64.0400","1785146.0000","63.9800","64.1800","63.7500"
"2017/02/24","64.2400","858369.0000","63.7000","64.3200","63.5000"
"2017/02/23","64.1200","1024884.0000","64.8900","65.0000","63.9000"
"2017/02/22","64.7700","1072663.0000","64.8500","65.2700","64.6500"
"2017/02/21","65.1000","1018596.0000","64.5500","65.2900","64.5500"
"2017/02/17","64.5900","1397832.0000","65.0100","65.2700","64.5700"
"2017/02/16","65.1200","1297822.0000","65.2000","65.7800","64.7000"
"2017/02/15","65.1200","662443.0000","64.7800","65.3100","64.6800"
"2017/02/14","64.8500","1115358.0000","64.7500","65.2900","64.5700"
"2017/02/13","64.8300","1281153.0000","64.8600","65.6200","64.7800"
"2017/02/10","64.7300","1035947.0000","65.1900","65.4690","64.6300"
"2017/02/09","65.0000","1046268.0000","64.8800","65.7800","64.6100"
"2017/02/08","64.8400","1258568.0000","64.7400","65.0950","64.5000"
"2017/02/07","64.8600","920273.0000","64.8600","65.1400","64.4500"
"2017/02/06","64.6300","1410108.0000","64.0000","64.9200","64.0000"
"2017/02/03","64.3500","657680.0000","63.5500","64.6400","63.5500"
"2017/02/02","63.9600","1099608.0000","62.7900","64.1000","62.5350"
"2017/02/01","63.1000","1449714.0000","62.8200","63.3000","62.2000"
"2017/01/31","62.9900","1369504.0000","62.1000","63.0000","61.9000"
"2017/01/30","62.4400","1490128.0000","62.1000","62.5600","61.6700"
"2017/01/27","62.5500","3005781.0000","61.4700","63.0000","61.2000"
"2017/01/26","59.6100","1589512.0000","60.2400","60.2400","59.4950"
"2017/01/25","60.0600","1642964.0000","60.0000","60.3300","59.5400"
"2017/01/24","59.7700","2014994.0000","58.6000","59.9200","58.3800"
"2017/01/23","58.2800","1090449.0000","59.0400","59.2400","57.6400"
"2017/01/20","59.2600","1103444.0000","58.7900","59.4700","58.7601"
"2017/01/19","58.8100","1283773.0000","58.3700","59.3900","58.0900"
"2017/01/18","58.5700","698093.0000","57.8100","58.6000","57.6400"
"2017/01/17","57.9400","1384224.0000","58.0900","58.9800","57.6600"
"2017/01/13","58.1700","1658233.0000","57.5100","58.2700","57.5000"
"2017/01/12","57.6400","851615.0000","57.2000","57.7600","56.7801"
"2017/01/11","57.5800","897953.0000","57.2300","57.6500","57.0300"
"2017/01/10","56.9900","1665099.0000","56.4000","57.6700","56.3300"
"2017/01/09","56.4900","1405597.0000","56.4200","56.6400","55.6500"
"2017/01/06","56.7900","1331802.0000","55.5400","56.9600","55.3600"
"2017/01/05","55.2700","829632.0000","54.8000","55.5700","54.8000"
"2017/01/04","55.0000","2100954.0000","54.7200","55.4200","54.7200"
"2017/01/03","54.5700","1628955.0000","55.0800","55.2600","54.1350"
"2016/12/30","54.9700","804954.0000","55.2000","55.3000","54.7500"
"2016/12/29","55.2600","833670.0000","55.0700","55.5780","54.6400"
"2016/12/28","55.3400","1320624.0000","56.0400","56.2100","55.0701"
"2016/12/27","56.0500","1005913.0000","56.0900","56.4400","55.9100"
"2016/12/23","56.0900","595874.0000","55.5600","56.2000","55.5000"
"2016/12/22","55.8400","1573488.0000","57.0500","57.0500","55.4700"
"2016/12/21","57.2900","1066177.0000","56.7900","57.6500","56.4600"
"2016/12/20","57.0500","1473771.0000","56.5900","57.2400","56.5000"
"2016/12/19","56.3900","1220213.0000","56.1500","56.7100","55.8300"
"2016/12/16","56.4400","5975830.0000","56.6400","56.8400","55.7700"
"2016/12/15","56.7600","3605137.0000","54.5000","57.0000","54.3700"
"2016/12/14","54.2100","1837346.0000","53.6600","54.4600","53.5300"
"2016/12/13","53.7700","1228203.0000","53.8500","54.5000","53.6900"
"2016/12/12","53.9000","1641474.0000","54.0000","54.2300","53.0750"
"2016/12/09","53.9700","1677206.0000","53.8400","54.5000","53.5800"
"2016/12/08","53.9200","2322316.0000","53.7700","54.9000","53.3001"
"2016/12/07","53.9000","2751771.0000","53.2200","54.1600","52.8700"
"2016/12/06","53.3700","1659240.0000","52.8200","53.5000","52.7100"
"2016/12/05","53.0600","1793372.0000","52.8200","53.4300","52.5300"
"2016/12/02","52.7500","1338122.0000","51.6900","52.9900","51.0200"
"2016/12/01","51.8800","2249853.0000","53.5500","53.6500","51.2600"
"2016/11/30","53.5600","1426432.0000","53.5500","53.7000","53.1800"
"2016/11/29","53.2700","1249776.0000","52.0200","53.4800","52.0200"
"2016/11/28","52.1400","739184.0000","52.0000","52.4000","51.8000"
"2016/11/25","52.1900","254001.0000","51.4100","52.4200","51.3500"
"2016/11/23","51.5400","839435.0000","51.8000","52.3400","51.3800"
"2016/11/22","52.0900","801691.0000","52.6000","52.8500","51.5500"
"2016/11/21","52.4400","883798.0000","51.9000","52.7100","51.9000"
"2016/11/18","51.9900","1179039.0000","51.7800","52.3400","51.7000"
"2016/11/17","51.8000","1607039.0000","50.5700","52.1513","50.5000"
"2016/11/16","50.6500","1402724.0000","49.8700","50.8300","49.7200"
"2016/11/15","50.0800","1962098.0000","49.0300","50.3300","48.8200"
"2016/11/14","48.9900","983570.0000","49.1400","49.5500","48.3700"
"2016/11/11","49.1500","887445.0000","49.2000","49.4500","48.8300"
"2016/11/10","49.2600","1675760.0000","49.3600","50.0500","48.5900"
"2016/11/09","49.3700","1639145.0000","48.6100","49.8800","48.4600"
"2016/11/08","49.6800","932477.0000","49.5200","49.9400","49.4800"
